School,IG Username
TJU/Wills Eye Hospital,willseyeresidents
Bascom Palmer/University of Miami,bascompalmereye
Johns Hopkins/Wilmer,wilmereyeresidents
University of Iowa,uiowaeye
Mass. Eye and Ear,havardophthalmologyresidents
UCLA/Doheny,steineyeresidents
Duke,dukeeyeresidents
University of Michigan,kelloggeyecenter
University of Utah/Moran,moraneyeresidents
University of California San Francisco (UCSF),ucsfophtho
University of Southern California/Roski,usceye
Baylor/Cullen,bcmhouston
OHSU,ohsucaseyeye
UTSW,utsweye
Emory,emoryeyeresidency
University of Pennsylvania/Scheie,penn.eyeres
Cleveland Clinic,clevelandclinic
University of Oklahoma,deanmcgeeeyeinstitute
Washington University in Saint Louis,washuophtho
New York Eye and Ear,nyeeresidency
University of Illinois at Chicago,uiceyeresidents
Mayo Clinic,mayocliniccollege
University of Cincinnati,cincinnati_medicine
New York Presbyterian (Columbia),columbiaophthalmology
Vanderbilt,vumceye
Stanford,byerseye
UCSD,shileyeye
University of Colorado,cumedschool
California Pacific Medical Center,sutterhealth
NYU,nyugrossman
University of Alabama,uabophthalmology
Ohio State,ohiostateeye_residents
UC Davis,ucdaviseyeresidency
UPMC,pitt_ophthalmology
Tufts,tuftsmedicalcenter
University of Washington,uwmedicine
University of Wisconsin,wisconsin.eye
UC Irvine,ghei.uci.health
University of Florida,ufmedicine
Wake Forest,eyeonwake
New York Presbyterian (Cornell),cornell.eye.residents
Northwestern,nuophthalmology
UNC,unceye_residents
Rush,rushophthalmology
University of Minnesota,umnmedschool
UTHSC Houston,uthealthhouston
Indiana University,iuophthalmology
Beaumont Health (Royal Oak),beaumonthealth
Boston University,bumedicine
Montefiore/Albert Einstein,monteophtho
Loyola,loyola_ophthalmology
Detroit Medical Center/Wayne State University,kresgeresidents
MUSC,stormeyeresidency
Yale,yaleeyeresidents
University of Maryland,umdeye
University of Kentucky,ukophthalmology
MedStar/Georgetown,georgetownophtho
Henry Ford Hospital/Wayne State University,waynemedicine
SUNY Downstate,suny.downstate.ophtho
Tulane,tulane_ophtho
Case Western,cwru_med
Rutgers,rwjms
UTHSC San Antonio,uthealthsa
Loma Linda,llumedschool
University of Nebraska,iamunmc
West Virginia University,wvueyeinstitute
University of Chicago,uchicagoophtho
University of Rochester,urmc_ophthalmology_residency
Medical College of Wisconsin,medicalcollegeofwi
University of Tennesee,utmemphisophtho
University of Virginia,uva_ophthalmology
LSU New Orleans,lsu_health_sciences_center
Temple,templemedschool
Texas Tech Lubbock,ttuhscmed
University of Louisville,louisville_eye
UMKC,umkc.ophtho
LSU Shreveport,lsuophthalmology
UM Columbia,mizzouophthalmology
Brown,brown_ophtho
Cook County Health and Hospitals System,cookcountyophtho
George Washington University,gwsmhs
University of South Florida,usfbulls_eye
Penn State Hershey,pennstatehershey
National Capital Consortium,
Stony Brook,stonybrookmedicine
University of Kansas,kuophthalmology
NYMC Valhalla/Westchester Medical Center,nymedcollege
University of Texas/Methodist Hospital (Houston),ophthodellmed
Summa Health System/NEOMED,neomededu
Larkin,
Albany,amceyeresidency
Naval Medical Center (San Diego),nmc_sd
University of Arkansas,uams_eye
VCU,vcuhealth
University of Arizona - Tucson,uazmedtucson
Icahn School of Medicine at Mount Sinai,
Texas A&M (Temple),tamumedicine
Zucker School of Medicine at Hofstra/Northwell,zuckersom
University of Mississippi,ummcnews
Saint Louis University School of Medicine,slu_som
Howard,
Geisinger,geisingercommonwealth
University at Buffalo,buffaloophthalmology
SUNY Upstate,upstatemedical
University of South Carolina,
San Antonio Uniformed Services Health Education Consortium,
Nassau University Medical Center,nuhealth
EVMS,evms_eye
BronxCare Health System,
Madigan Army Medical Center,madiganmedicine
University of Arizona - Tucson (South Campus),
Medical College of Georgia,mcg_aug
University of Puerto Rico,
Sinai Hospital of Baltimore,lifebridgehealth
Doctors Hospital/OhioHealth,ohiohealth
Ascension Macomb-Oakland Hospital,ascension_org
NYMC Jamaica Hospital Medical Center,jamaicahospital
Beaumont Health (Taylor),beaumont.ophtho
Kettering Health Network,ketteringhealth
PCOM,pcomeducation
St. John's Episcopal Hospital-South Shore,stjohnseh